# SBOM Audit Trail
# Generated: 2026-04-20T14:08:54Z
# Input: /tmp/ubuntu-24.04.cdx.json
# Output: sbom_output.json

## Override

[2026-04-20T14:08:03Z] OVERRIDE component.version MODIFIED "24.04" -> "24.04" (source: cli/env)
[2026-04-20T14:08:04Z] OVERRIDE component.name MODIFIED "ubuntu" -> "Ubuntu 24.04 (container)" (source: cli/env)

## Augmentation

[2026-04-20T14:08:24Z] ENRICHMENT pkg:deb/ubuntu/libdebconfclient0@0.271ubuntu3?arch=arm64&distro=ubuntu-24.04&upstream=cdebconf manufacturer ADDED (source: license-db)
[2026-04-20T14:08:24Z] ENRICHMENT pkg:deb/ubuntu/libdebconfclient0@0.271ubuntu3?arch=arm64&distro=ubuntu-24.04&upstream=cdebconf supplier ADDED (source: license-db)
[2026-04-20T14:08:24Z] ENRICHMENT pkg:deb/ubuntu/libext2fs2t64@1.47.0-2.4~exp1ubuntu4.1?arch=arm64&distro=ubuntu-24.04&upstream=e2fsprogs supplier ADDED (source: purl)
[2026-04-20T14:08:24Z] ENRICHMENT pkg:deb/ubuntu/libext2fs2t64@1.47.0-2.4~exp1ubuntu4.1?arch=arm64&distro=ubuntu-24.04&upstream=e2fsprogs homepage ADDED (source: purl)
[2026-04-20T14:08:24Z] ENRICHMENT pkg:deb/ubuntu/libffi8@3.4.6-1build1?arch=arm64&distro=ubuntu-24.04&upstream=libffi description ADDED (source: license-db)
[2026-04-20T14:08:24Z] ENRICHMENT pkg:deb/ubuntu/libffi8@3.4.6-1build1?arch=arm64&distro=ubuntu-24.04&upstream=libffi manufacturer ADDED (source: license-db)
[2026-04-20T14:08:24Z] ENRICHMENT pkg:deb/ubuntu/libffi8@3.4.6-1build1?arch=arm64&distro=ubuntu-24.04&upstream=libffi supplier ADDED (source: license-db)
[2026-04-20T14:08:24Z] ENRICHMENT pkg:deb/ubuntu/libffi8@3.4.6-1build1?arch=arm64&distro=ubuntu-24.04&upstream=libffi homepage ADDED (source: license-db)
[2026-04-20T14:08:25Z] ENRICHMENT pkg:deb/ubuntu/libgcc-s1@14.2.0-4ubuntu2~24.04.1?arch=arm64&distro=ubuntu-24.04&upstream=gcc-14 supplier ADDED (source: purl)
[2026-04-20T14:08:25Z] ENRICHMENT pkg:deb/ubuntu/libgcc-s1@14.2.0-4ubuntu2~24.04.1?arch=arm64&distro=ubuntu-24.04&upstream=gcc-14 homepage ADDED (source: purl)
[2026-04-20T14:08:26Z] ENRICHMENT pkg:deb/ubuntu/libgcrypt20@1.10.3-2build1?arch=arm64&distro=ubuntu-24.04 supplier ADDED (source: purl)
[2026-04-20T14:08:26Z] ENRICHMENT pkg:deb/ubuntu/libgcrypt20@1.10.3-2build1?arch=arm64&distro=ubuntu-24.04 homepage ADDED (source: purl)
